Price,Adj Close,Close,High,Low,Open,Volume
Ticker,SPY,SPY,SPY,SPY,SPY,SPY
Date,,,,,,
1993-01-29,24.11326789855957,43.9375,43.96875,43.75,43.96875,1003200
1993-02-01,24.284761428833008,44.25,44.25,43.96875,43.96875,480500
1993-02-02,24.336223602294922,44.34375,44.375,44.125,44.21875,201300
1993-02-03,24.593477249145508,44.8125,44.84375,44.375,44.40625,529400
1993-02-04,24.69636344909668,45.0,45.09375,44.46875,44.96875,531500
1993-02-05,24.67923355102539,44.96875,45.0625,44.71875,44.96875,492100
1993-02-08,24.67923355102539,44.96875,45.125,44.90625,44.96875,596100
1993-02-09,24.507720947265625,44.65625,44.8125,44.5625,44.8125,122100
1993-02-10,24.542024612426758,44.71875,44.75,44.53125,44.65625,379600
1993-02-11,24.66206932067871,44.9375,45.125,44.78125,44.78125,19500
1993-02-12,24.473417282104492,44.59375,44.875,44.59375,44.875,42500
1993-02-16,23.85600471496582,43.46875,44.46875,43.40625,44.46875,374800
1993-02-17,23.838865280151367,43.4375,43.53125,43.28125,43.46875,210900
1993-02-18,23.821701049804688,43.40625,43.9375,42.8125,43.9375,378100
1993-02-19,23.907451629638672,43.5625,43.5625,43.34375,43.40625,34900
1993-02-22,23.99319839477539,43.71875,43.78125,43.5625,43.6875,513600
1993-02-23,23.97605323791504,43.6875,43.875,43.46875,43.84375,373700
1993-02-24,24.284761428833008,44.25,44.25,43.71875,43.71875,26300
1993-02-25,24.336223602294922,44.34375,44.375,44.125,44.21875,44500
1993-02-26,24.370512008666992,44.40625,44.4375,44.1875,44.4375,66200
1993-03-01,24.30190658569336,44.28125,44.5625,44.21875,44.5625,66500
1993-03-02,24.66206932067871,44.9375,44.9375,44.25,44.3125,182400
1993-03-03,24.76497459411621,45.125,45.15625,44.9375,45.0,280100
1993-03-04,24.627765655517578,44.875,45.1875,44.875,45.1875,89500
1993-03-05,24.559173583984375,44.75,45.125,44.71875,44.9375,40000
1993-03-08,25.107975006103516,45.75,45.75,44.84375,44.84375,50800
1993-03-09,25.022232055664062,45.59375,45.6875,45.5,45.65625,169300
1993-03-10,25.073667526245117,45.6875,45.6875,45.40625,45.59375,194400
1993-03-11,25.00507164001465,45.5625,45.84375,45.5,45.71875,70900
1993-03-12,24.74782371520996,45.09375,45.21875,44.8125,45.1875,643600
1993-03-15,24.86785888671875,45.3125,45.3125,45.0625,45.0625,310800
1993-03-16,24.86785888671875,45.3125,45.4375,45.3125,45.3125,30800
1993-03-17,24.713520050048828,45.03125,45.25,44.96875,45.25,21800
1993-03-18,24.86785888671875,45.3125,45.5,45.21875,45.21875,59300
1993-03-19,24.830238342285156,45.03125,45.28125,45.03125,45.28125,66900
1993-03-22,24.69236946105957,44.78125,44.875,44.5625,44.59375,183400
1993-03-23,24.74408531188965,44.875,44.9375,44.8125,44.90625,55200
1993-03-24,24.74408531188965,44.875,45.0625,44.59375,44.8125,37200
1993-03-25,24.899160385131836,45.15625,45.25,44.84375,44.90625,110100
1993-03-26,24.76130485534668,44.90625,45.15625,44.875,45.125,101500
1993-03-29,24.864704132080078,45.09375,45.3125,44.9375,44.9375,87100
1993-03-30,24.93363380432129,45.21875,45.21875,45.09375,45.15625,56000
1993-03-31,24.916404724121094,45.1875,45.46875,45.1875,45.34375,111600
1993-04-01,24.830238342285156,45.03125,45.25,44.9375,45.25,129500
1993-04-02,24.31330680847168,44.09375,44.65625,44.09375,44.65625,59400
1993-04-05,24.433917999267578,44.3125,44.4375,44.1875,44.4375,172200
1993-04-06,24.364999771118164,44.1875,44.40625,44.0625,44.40625,129700
1993-04-07,24.45115089416504,44.34375,44.34375,44.15625,44.25,28000
1993-04-08,24.416688919067383,44.28125,44.53125,44.09375,44.53125,180800
1993-04-12,24.76130485534668,44.90625,44.9375,44.65625,44.71875,348500
1993-04-13,24.813003540039062,45.0,45.15625,44.84375,44.875,146100
1993-04-14,24.77853775024414,44.9375,45.0625,44.90625,45.03125,119600
